/home/rgundaka/miniconda3/envs/rishig/lib/python3.6/site-packages/torch/functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram (use `wandb login --relogin` to force relogin)
0
Weights loaded from /groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_cpino/checkpoints/darcy-cpino.pt
wandb: wandb version 0.12.16 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.10
wandb: Syncing run dandy-snowball-54
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO/runs/12yhokht
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_cpino/wandb/run-20220525_231651-12yhokht
wandb: Run `wandb offline` to turn off syncing.


  0% 0/500 [00:00<?, ?it/s]
Equation error: 1.66119, test l2 error: 0.05418640002608299:   0% 0/500 [00:00<?, ?it/s]
Equation error: 1.66119, test l2 error: 0.05418640002608299:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.51376, test l2 error: 0.06731174886226654:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 0.98362, test l2 error: 0.04483860358595848:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.00873, test l2 error: 0.1025242954492569:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.68168, test l2 error: 0.152981236577034:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.61783, test l2 error: 0.08480631560087204:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.22318, test l2 error: 0.06092442199587822:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 0.93751, test l2 error: 0.03859322890639305:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.51106, test l2 error: 0.1069742739200592:   0% 1/500 [00:00<01:59,  4.17it/s] 
Equation error: 1.56945, test l2 error: 0.05488422140479088:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.05354, test l2 error: 0.06294769793748856:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.36280, test l2 error: 0.08227947354316711:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.19514, test l2 error: 0.045521050691604614:   0% 1/500 [00:00<01:59,  4.17it/s]
Equation error: 1.22089, test l2 error: 0.05419214069843292:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.21827, test l2 error: 0.10650409013032913:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.18275, test l2 error: 0.15789131820201874:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.21816, test l2 error: 0.033498309552669525:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.28491, test l2 error: 0.06783340871334076:  14% 72/500 [00:00<00:03, 137.99it/s] 
Equation error: 1.01914, test l2 error: 0.05548720806837082:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.29142, test l2 error: 0.05048156902194023:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.41275, test l2 error: 0.06084596738219261:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.69447, test l2 error: 0.08211112767457962:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.66168, test l2 error: 0.07740684598684311:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.10059, test l2 error: 0.06628478318452835:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.36385, test l2 error: 0.06242762878537178:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.40890, test l2 error: 0.07776053249835968:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.00265, test l2 error: 0.05144243314862251:  14% 72/500 [00:00<00:03, 137.99it/s]
Equation error: 1.00265, test l2 error: 0.05144243314862251:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.00182, test l2 error: 0.0655391588807106:  19% 97/500 [00:00<00:02, 156.97it/s] 
Equation error: 1.18052, test l2 error: 0.039326366037130356:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.38007, test l2 error: 0.047976117581129074:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.17786, test l2 error: 0.0370933972299099:  19% 97/500 [00:00<00:02, 156.97it/s]  
Equation error: 0.90004, test l2 error: 0.04334478825330734:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.15365, test l2 error: 0.05711359158158302:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.41676, test l2 error: 0.13415363430976868:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.82586, test l2 error: 0.06432582437992096:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.23218, test l2 error: 0.0407308004796505:  19% 97/500 [00:00<00:02, 156.97it/s] 
Equation error: 1.63900, test l2 error: 0.06202627718448639:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 0.91690, test l2 error: 0.06454800814390182:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.75880, test l2 error: 0.069621242582798:  19% 97/500 [00:00<00:02, 156.97it/s]  
Equation error: 1.22175, test l2 error: 0.05810356140136719:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.55223, test l2 error: 0.039877746254205704:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.28937, test l2 error: 0.04349342733621597:  19% 97/500 [00:00<00:02, 156.97it/s] 
Equation error: 1.21825, test l2 error: 0.05595485866069794:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.40628, test l2 error: 0.07553599029779434:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.52799, test l2 error: 0.05875483155250549:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.21807, test l2 error: 0.05804184079170227:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.47068, test l2 error: 0.06302861869335175:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.26986, test l2 error: 0.06426967680454254:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.18526, test l2 error: 0.05512750521302223:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.30126, test l2 error: 0.06545719504356384:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.28009, test l2 error: 0.03892321512103081:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.20322, test l2 error: 0.06212183088064194:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 0.97841, test l2 error: 0.04164622724056244:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.10328, test l2 error: 0.06341250985860825:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.12879, test l2 error: 0.05147190019488335:  19% 97/500 [00:00<00:02, 156.97it/s]
Equation error: 1.24349, test l2 error: 0.04303843528032303:  19% 97/500 [00:00<00:02, 156.97it/s]
